rack;mac;tag_num
1;417FC58B;001
1;4172C75C;002
1;418CBA6C;003
1;4107898C;004
1;41894079;005
2;40ABDDAA;006
2;4172C75A;007
2;41894067;008
2;40B5E93A;009
2;40BA975B;010
